Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
3M Company,MMM,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902
Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888
AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981
Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008
Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982
Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",20/03/2017,2488,1969
Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",09/07/2015,1158449,1932
AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981
Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",01/07/2014,1004434,1993
AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955
Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999
Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940
Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998
Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",13/05/2016,766421,1985
Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",01/07/2016,915913,1994
Alexandria Real Estate Equities,ARE,reports,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994
Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",25/05/2012,899866,1992
Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1097149,1997
Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",02/12/2013,1579241,1908
"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/04/1999,1578845,1983
Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",23/12/2013,1101215,1996
Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917
Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931
Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998
Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1652044,1998
Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994
